company,name,year,TA,size,liquid_ratio,Operating_Expense_Ratio,Cash_Flow_Ratio,GDP,PAC,underwriting_revenue,brokerage_revenue,netprofit_growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000930,華南永昌證券,2005,23078555,17,153.97,64.73,16.27,5.38,0,116352,1377321,57.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0009A0,永豐金證券,2005,63422882,18,145.16,59.01,5.03,5.38,0,310731,2763398,12.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000885,鑫豐證券,2005,206693,12,677.18,134.84,78.71,5.38,1,2,33980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000779,國票證券,2005,15011161,17,179.6,79.31,14.52,,0,1118,897207,"1,122.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2856,元富證券,2005,71836460,18,124.75,65.31,1.65,,0,73719,2140281,43.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000102,合作金庫證券,2005,,,,,,5.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000025,基富通證券,2005,,,,,,5.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2854,寶來證券,2005,77087034,18,120.35,74.41,10.11,5.38,6,143461,3463921,61.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6024,群益期貨,2005,5988179,16,111.96,35.71,2.86,5.38,0,0,543739,33.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026000,富邦期貨,2005,5864691,16,121.05,37.9,3.89,5.77,0,0,610782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31872,元大期貨,2005,6928501,16,115.46,27.05,3.96,5.77,0,0,856040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5869,元富期貨,2005,5330367,15,116.17,30.79,1.26,5.77,0,0,479618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000980,元大證券,2006,26120486,17,152.03,74.2,1.72,5.77,0,15738,2353252,156.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6008,凱基證券,2006,116462096,19,132.7,51.14,2.31,5.77,0,219446,5137693,"5,719.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6016,康和證券,2006,20702377,17,126.83,69.08,7.47,5.77,0,385,1093878,310.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000960,富邦證券,2006,66399529,18,185.77,46.8,12.74,5.77,0,217682,4031531,213.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000884,玉山證券,2006,6967358,16,163.36,87.1,5.12,5.77,0,1062,305227,97.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000616,中信證券,2006,11101084,16,174.85,110.06,11.7,5.77,0,25133,306479,382.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6005,群益證券,2006,71959880,18,128.44,51.76,5.55,5.77,0,232589,3205397,161.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000815,台新證券,2006,252592,12,"5,029.01",135.17,11.95,5.77,0,0,17294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000116,日盛證券,2006,70688350,18,129.51,64.84,5.94,5.77,0,57570,3450047,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000888,國泰證券,2006,4985547,15,443.61,95.35,79.27,5.77,0,38590,273671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000930,華南永昌證券,2006,23471212,17,159.09,53.05,15.22,5.77,0,81538,1841213,134.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0009A0,永豐金證券,2006,67500293,18,135.28,59.43,12.31,5.77,0,229090,3301387,63.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000885,鑫豐證券,2006,206534,12,725.39,107.61,105.86,,1,9,37913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000779,國票證券,2006,19268384,17,152.02,69.04,16.7,,0,6191,1154984,149.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2856,元富證券,2006,78384527,18,121.92,59.86,5.82,5.77,0,103421,2705481,12.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000102,合作金庫證券,2006,,,,,,5.77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000025,基富通證券,2006,,,,,,5.77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2854,寶來證券,2006,94216663,18,131.06,61.98,8.39,5.77,7,68920,4674514,243.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6024,群益期貨,2006,6315697,16,115.3,42.31,2.33,6.85,0,0,564341,10.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026000,富邦期貨,2006,5443943,16,123.66,32.42,1.45,6.85,0,0,390132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31872,元大期貨,2006,6054493,16,124.81,32.82,3.42,6.85,0,0,761522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5869,元富期貨,2006,4585259,15,121.01,29.67,3.52,6.85,0,0,509272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000980,元大證券,2007,106149193,18,199.37,47.36,13.84,6.85,0,278383,10073742,"1,171.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6008,凱基證券,2007,116241542,19,163.33,55.99,6.62,6.85,0,205641,7950371,103.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6016,康和證券,2007,22594959,17,148.26,65.15,2.85,6.85,0,436,1679383,59.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000960,富邦證券,2007,68540015,18,190.3,43.19,5.51,6.85,0,152661,5211066,37.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000884,玉山證券,2007,7262037,16,168.53,56.29,21.02,6.85,0,2628,486256,"16,073.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000616,中信證券,2007,11418487,16,184.69,74.7,29.96,6.85,0,35225,394941,210.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6005,群益證券,2007,76119948,18,132.63,47.18,6.07,6.85,0,175736,4397921,69.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000815,台新證券,2007,254890,12,"5,822.55",108.54,185.54,6.85,0,0,22320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000116,日盛證券,2007,64839977,18,150.2,47.72,2.86,6.85,0,92032,4646040,77.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
